year,state,party,votes
2020,OREGON,REPUBLICAN,958448
2020,PENNSYLVANIA,REPUBLICAN,3377674
2020,RHODE ISLAND,REPUBLICAN,199922
2020,SOUTH CAROLINA,REPUBLICAN,1385103
2020,SOUTH DAKOTA,REPUBLICAN,261043
2020,TENNESSEE,REPUBLICAN,1852475
2020,TEXAS,REPUBLICAN,5890347
2020,UTAH,REPUBLICAN,865140
2020,VERMONT,REPUBLICAN,112704
2020,VIRGINIA,REPUBLICAN,1962430
2020,WASHINGTON,REPUBLICAN,1584651
2020,WEST VIRGINIA,REPUBLICAN,545382
2020,WISCONSIN,REPUBLICAN,1610184
2020,WYOMING,REPUBLICAN,193559
1976,ALABAMA,DEMOCRAT,659170
1976,ALASKA,DEMOCRAT,44058
1976,ARIZONA,DEMOCRAT,295602
1976,ARKANSAS,DEMOCRAT,498604
1976,CALIFORNIA,DEMOCRAT,3742284
1976,COLORADO,DEMOCRAT,460801
1976,CONNECTICUT,DEMOCRAT,647895
1976,DELAWARE,DEMOCRAT,122461
1976,DISTRICT OF COLUMBIA,DEMOCRAT,137818
1976,FLORIDA,DEMOCRAT,1636000
1976,GEORGIA,DEMOCRAT,979409
1976,HAWAII,DEMOCRAT,147375
1976,IDAHO,DEMOCRAT,126549
1976,ILLINOIS,DEMOCRAT,2271295
1976,INDIANA,DEMOCRAT,1014714
1976,IOWA,DEMOCRAT,619931
1976,KANSAS,DEMOCRAT,430421
1976,KENTUCKY,DEMOCRAT,615717
1976,LOUISIANA,DEMOCRAT,661365
1976,MAINE,DEMOCRAT,232279
1976,MARYLAND,DEMOCRAT,759612
1976,MASSACHUSETTS,DEMOCRAT,1429475
1976,MICHIGAN,DEMOCRAT,1696714
1976,MINNESOTA,DEMOCRAT,1070440
1976,MISSISSIPPI,DEMOCRAT,381329
1976,MISSOURI,DEMOCRAT,998387
1976,MONTANA,DEMOCRAT,149259
1976,NEBRASKA,DEMOCRAT,233293
1976,NEVADA,DEMOCRAT,92479
1976,NEW HAMPSHIRE,DEMOCRAT,147645
1976,NEW JERSEY,DEMOCRAT,1444653
1976,NEW MEXICO,DEMOCRAT,201148
1976,NEW YORK,DEMOCRAT,3244165
1976,NORTH CAROLINA,DEMOCRAT,927365
1976,NORTH DAKOTA,DEMOCRAT,136078
1976,OHIO,DEMOCRAT,2009959
1976,OKLAHOMA,DEMOCRAT,532442
1976,OREGON,DEMOCRAT,490407
1976,PENNSYLVANIA,DEMOCRAT,2328677
1976,RHODE ISLAND,DEMOCRAT,227636
1976,SOUTH CAROLINA,DEMOCRAT,450807
1976,SOUTH DAKOTA,DEMOCRAT,147068
1976,TENNESSEE,DEMOCRAT,825879
1976,TEXAS,DEMOCRAT,2082319
1976,UTAH,DEMOCRAT,182110
1976,VERMONT,DEMOCRAT,77798
1976,VIRGINIA,DEMOCRAT,813896
1976,WASHINGTON,DEMOCRAT,717323
1976,WEST VIRGINIA,DEMOCRAT,435864
1976,WISCONSIN,DEMOCRAT,1040232
1976,WYOMING,DEMOCRAT,62239
1980,ALABAMA,DEMOCRAT,636730
1980,ALASKA,DEMOCRAT,41842
1980,ARIZONA,DEMOCRAT,246843
1980,ARKANSAS,DEMOCRAT,398041
1980,CALIFORNIA,DEMOCRAT,3082943
1980,COLORADO,DEMOCRAT,368009
1980,CONNECTICUT,DEMOCRAT,541732
1980,DELAWARE,DEMOCRAT,105754
1980,DISTRICT OF COLUMBIA,DEMOCRAT,130231
1980,FLORIDA,DEMOCRAT,1419475
1980,GEORGIA,DEMOCRAT,890955
1980,HAWAII,DEMOCRAT,135879
1980,IDAHO,DEMOCRAT,110192
1980,ILLINOIS,DEMOCRAT,1981413
1980,INDIANA,DEMOCRAT,844197
1980,IOWA,DEMOCRAT,508672
1980,KANSAS,DEMOCRAT,326150
1980,KENTUCKY,DEMOCRAT,617417
1980,LOUISIANA,DEMOCRAT,708453
1980,MAINE,DEMOCRAT,220974
1980,MARYLAND,DEMOCRAT,726161
1980,MASSACHUSETTS,DEMOCRAT,1053802
1980,MICHIGAN,DEMOCRAT,1661532
1980,MINNESOTA,DEMOCRAT,954173
1980,MISSISSIPPI,DEMOCRAT,429281
1980,MISSOURI,DEMOCRAT,931182
1980,MONTANA,DEMOCRAT,118032
1980,NEBRASKA,DEMOCRAT,166424
1980,NEVADA,DEMOCRAT,66666
1980,NEW HAMPSHIRE,DEMOCRAT,108864
1980,NEW JERSEY,DEMOCRAT,1147364
1980,NEW MEXICO,DEMOCRAT,167826
1980,NEW YORK,DEMOCRAT,2728372
1980,NORTH CAROLINA,DEMOCRAT,875635
1980,NORTH DAKOTA,DEMOCRAT,79189
1980,OHIO,DEMOCRAT,1752414
1980,OKLAHOMA,DEMOCRAT,402026
1980,OREGON,DEMOCRAT,456890
1980,PENNSYLVANIA,DEMOCRAT,1937540
1980,RHODE ISLAND,DEMOCRAT,198342
1980,SOUTH CAROLINA,DEMOCRAT,428220
1980,SOUTH DAKOTA,DEMOCRAT,103855
1980,TENNESSEE,DEMOCRAT,783051
1980,TEXAS,DEMOCRAT,1881147
1980,UTAH,DEMOCRAT,124266
1980,VERMONT,DEMOCRAT,81952
1980,VIRGINIA,DEMOCRAT,752174
1980,WASHINGTON,DEMOCRAT,650193
1980,WEST VIRGINIA,DEMOCRAT,367462
1980,WISCONSIN,DEMOCRAT,981584
1980,WYOMING,DEMOCRAT,49427
1984,ALABAMA,DEMOCRAT,551899
1984,ALASKA,DEMOCRAT,62007
1984,ARIZONA,DEMOCRAT,333854
1984,ARKANSAS,DEMOCRAT,338646
1984,CALIFORNIA,DEMOCRAT,3922519
1984,COLORADO,DEMOCRAT,454975
1984,CONNECTICUT,DEMOCRAT,569597
1984,DELAWARE,DEMOCRAT,101656
1984,DISTRICT OF COLUMBIA,DEMOCRAT,180408
1984,FLORIDA,DEMOCRAT,1448816
1984,GEORGIA,DEMOCRAT,706628
1984,HAWAII,DEMOCRAT,147154
1984,IDAHO,DEMOCRAT,108510
1984,ILLINOIS,DEMOCRAT,2086499
1984,INDIANA,DEMOCRAT,841481
1984,IOWA,DEMOCRAT,605620
1984,KANSAS,DEMOCRAT,333149
1984,KENTUCKY,DEMOCRAT,539539
1984,LOUISIANA,DEMOCRAT,651586
1984,MAINE,DEMOCRAT,214515
1984,MARYLAND,DEMOCRAT,787935
1984,MASSACHUSETTS,DEMOCRAT,1239606
1984,MICHIGAN,DEMOCRAT,1529638
1984,MINNESOTA,DEMOCRAT,1036364
1984,MISSISSIPPI,DEMOCRAT,352192
1984,MISSOURI,DEMOCRAT,848583
1984,MONTANA,DEMOCRAT,146742
1984,NEBRASKA,DEMOCRAT,187866
1984,NEVADA,DEMOCRAT,91655
1984,NEW HAMPSHIRE,DEMOCRAT,120347
1984,NEW JERSEY,DEMOCRAT,1261323
1984,NEW MEXICO,DEMOCRAT,201769
1984,NEW YORK,DEMOCRAT,3001285
1984,NORTH CAROLINA,DEMOCRAT,824287
1984,NORTH DAKOTA,DEMOCRAT,104429
1984,OHIO,DEMOCRAT,1825440
1984,OKLAHOMA,DEMOCRAT,385080
1984,OREGON,DEMOCRAT,536479
1984,PENNSYLVANIA,DEMOCRAT,2228131
1984,RHODE ISLAND,DEMOCRAT,197106
1984,SOUTH CAROLINA,DEMOCRAT,344459
1984,SOUTH DAKOTA,DEMOCRAT,116113
1984,TENNESSEE,DEMOCRAT,711714
1984,TEXAS,DEMOCRAT,1949276
1984,UTAH,DEMOCRAT,155369
1984,VERMONT,DEMOCRAT,95730
1984,VIRGINIA,DEMOCRAT,796250
1984,WASHINGTON,DEMOCRAT,798352
1984,WEST VIRGINIA,DEMOCRAT,328125
1984,WISCONSIN,DEMOCRAT,995740
1984,WYOMING,DEMOCRAT,53370
1988,ALABAMA,DEMOCRAT,549506
1988,ALASKA,DEMOCRAT,72584
1988,ARIZONA,DEMOCRAT,454029
1988,ARKANSAS,DEMOCRAT,349237
1988,CALIFORNIA,DEMOCRAT,4702233
1988,COLORADO,DEMOCRAT,621453
1988,CONNECTICUT,DEMOCRAT,676584
1988,DELAWARE,DEMOCRAT,108647
1988,DISTRICT OF COLUMBIA,DEMOCRAT,159407
1988,FLORIDA,DEMOCRAT,1656701
1988,GEORGIA,DEMOCRAT,714792
1988,HAWAII,DEMOCRAT,192364
1988,IDAHO,DEMOCRAT,147272
1988,ILLINOIS,DEMOCRAT,2215940
1988,INDIANA,DEMOCRAT,860643
1988,IOWA,DEMOCRAT,670557
1988,KANSAS,DEMOCRAT,422636
1988,KENTUCKY,DEMOCRAT,580368
1988,LOUISIANA,DEMOCRAT,717460
1988,MAINE,DEMOCRAT,243569
1988,MARYLAND,DEMOCRAT,826304
1988,MASSACHUSETTS,DEMOCRAT,1401415
1988,MICHIGAN,DEMOCRAT,1675783
1988,MINNESOTA,DEMOCRAT,1109471
1988,MISSISSIPPI,DEMOCRAT,363921
1988,MISSOURI,DEMOCRAT,1001619
1988,MONTANA,DEMOCRAT,168936
1988,NEBRASKA,DEMOCRAT,259235
1988,NEVADA,DEMOCRAT,132738
1988,NEW HAMPSHIRE,DEMOCRAT,163696
1988,NEW JERSEY,DEMOCRAT,1320352
1988,NEW MEXICO,DEMOCRAT,244497
1988,NEW YORK,DEMOCRAT,3255487
1988,NORTH CAROLINA,DEMOCRAT,890167
1988,NORTH DAKOTA,DEMOCRAT,127739
1988,OHIO,DEMOCRAT,1939629
1988,OKLAHOMA,DEMOCRAT,483423
1988,OREGON,DEMOCRAT,616206
1988,PENNSYLVANIA,DEMOCRAT,2194944
1988,RHODE ISLAND,DEMOCRAT,225123
1988,SOUTH CAROLINA,DEMOCRAT,370554
1988,SOUTH DAKOTA,DEMOCRAT,145560
1988,TENNESSEE,DEMOCRAT,679794
1988,TEXAS,DEMOCRAT,2352748
1988,UTAH,DEMOCRAT,207343
1988,VERMONT,DEMOCRAT,115775
1988,VIRGINIA,DEMOCRAT,859799
1988,WASHINGTON,DEMOCRAT,933516
1988,WEST VIRGINIA,DEMOCRAT,341016
1988,WISCONSIN,DEMOCRAT,1126794
1988,WYOMING,DEMOCRAT,67113
1992,ALABAMA,DEMOCRAT,690080
1992,ALASKA,DEMOCRAT,78294
1992,ARIZONA,DEMOCRAT,543050
1992,ARKANSAS,DEMOCRAT,505823
1992,CALIFORNIA,DEMOCRAT,5121325
1992,COLORADO,DEMOCRAT,629681
1992,CONNECTICUT,DEMOCRAT,682318
1992,DELAWARE,DEMOCRAT,126054
1992,DISTRICT OF COLUMBIA,DEMOCRAT,192619
1992,FLORIDA,DEMOCRAT,2071698
1992,GEORGIA,DEMOCRAT,1008966
1992,HAWAII,DEMOCRAT,179310
1992,IDAHO,DEMOCRAT,137013
1992,ILLINOIS,DEMOCRAT,2453350
1992,INDIANA,DEMOCRAT,848420
1992,IOWA,DEMOCRAT,586353
1992,KANSAS,DEMOCRAT,390434
1992,KENTUCKY,DEMOCRAT,665104
1992,LOUISIANA,DEMOCRAT,815971
1992,MAINE,DEMOCRAT,263420
1992,MARYLAND,DEMOCRAT,988571
1992,MASSACHUSETTS,DEMOCRAT,1318639
1992,MICHIGAN,DEMOCRAT,1871182
1992,MINNESOTA,DEMOCRAT,1020997
1992,MISSISSIPPI,DEMOCRAT,400258
1992,MISSOURI,DEMOCRAT,1053873
1992,MONTANA,DEMOCRAT,154507
1992,NEBRASKA,DEMOCRAT,216864
1992,NEVADA,DEMOCRAT,189148
1992,NEW HAMPSHIRE,DEMOCRAT,209040
1992,NEW JERSEY,DEMOCRAT,1436206
1992,NEW MEXICO,DEMOCRAT,261617
1992,NEW YORK,DEMOCRAT,3346894
1992,NORTH CAROLINA,DEMOCRAT,1114042
1992,NORTH DAKOTA,DEMOCRAT,99168
1992,OHIO,DEMOCRAT,1984942
1992,OKLAHOMA,DEMOCRAT,473066
1992,OREGON,DEMOCRAT,621314
1992,PENNSYLVANIA,DEMOCRAT,2239164
1992,RHODE ISLAND,DEMOCRAT,213299
1992,SOUTH CAROLINA,DEMOCRAT,525514
1992,SOUTH DAKOTA,DEMOCRAT,124888
1992,TENNESSEE,DEMOCRAT,933521
1992,TEXAS,DEMOCRAT,2281815
1992,UTAH,DEMOCRAT,183429
1992,VERMONT,DEMOCRAT,133592
1992,VIRGINIA,DEMOCRAT,1038650
1992,WASHINGTON,DEMOCRAT,993037
1992,WEST VIRGINIA,DEMOCRAT,331001
1992,WISCONSIN,DEMOCRAT,1041066
1992,WYOMING,DEMOCRAT,68160
1996,ALABAMA,DEMOCRAT,662165
1996,ALASKA,DEMOCRAT,80380
1996,ARIZONA,DEMOCRAT,653288
1996,ARKANSAS,DEMOCRAT,475171
1996,CALIFORNIA,DEMOCRAT,5119835
1996,COLORADO,DEMOCRAT,671152
1996,CONNECTICUT,DEMOCRAT,735740
1996,DELAWARE,DEMOCRAT,140355
1996,DISTRICT OF COLUMBIA,DEMOCRAT,158220
1996,FLORIDA,DEMOCRAT,2546870
1996,GEORGIA,DEMOCRAT,1053849
1996,HAWAII,DEMOCRAT,205012
1996,IDAHO,DEMOCRAT,165443
1996,ILLINOIS,DEMOCRAT,2341744
1996,INDIANA,DEMOCRAT,887424
1996,IOWA,DEMOCRAT,620258
1996,KANSAS,DEMOCRAT,387659
1996,KENTUCKY,DEMOCRAT,636614
1996,LOUISIANA,DEMOCRAT,927837
1996,MAINE,DEMOCRAT,312788
1996,MARYLAND,DEMOCRAT,966207
1996,MASSACHUSETTS,DEMOCRAT,1571509
1996,MICHIGAN,DEMOCRAT,1989653
1996,MINNESOTA,DEMOCRAT,1120380
1996,MISSISSIPPI,DEMOCRAT,394022
1996,MISSOURI,DEMOCRAT,1025935
1996,MONTANA,DEMOCRAT,167922
1996,NEBRASKA,DEMOCRAT,236761
1996,NEVADA,DEMOCRAT,203974
1996,NEW HAMPSHIRE,DEMOCRAT,246166
1996,NEW JERSEY,DEMOCRAT,1652361
1996,NEW MEXICO,DEMOCRAT,273495
1996,NEW YORK,DEMOCRAT,3649630
1996,NORTH CAROLINA,DEMOCRAT,1107849
1996,NORTH DAKOTA,DEMOCRAT,106905
1996,OHIO,DEMOCRAT,2148222
1996,OKLAHOMA,DEMOCRAT,488105
1996,OREGON,DEMOCRAT,649641
1996,PENNSYLVANIA,DEMOCRAT,2215819
1996,RHODE ISLAND,DEMOCRAT,233050
1996,SOUTH CAROLINA,DEMOCRAT,506152
1996,SOUTH DAKOTA,DEMOCRAT,139333
1996,TENNESSEE,DEMOCRAT,909146
1996,TEXAS,DEMOCRAT,2459683
1996,UTAH,DEMOCRAT,221633
1996,VERMONT,DEMOCRAT,137894
1996,VIRGINIA,DEMOCRAT,1091060
1996,WASHINGTON,DEMOCRAT,1123323
1996,WEST VIRGINIA,DEMOCRAT,327812
1996,WISCONSIN,DEMOCRAT,1071971
1996,WYOMING,DEMOCRAT,77934
2000,ALABAMA,DEMOCRAT,692611
2000,ALASKA,DEMOCRAT,79004
2000,ARIZONA,DEMOCRAT,685341
2000,ARKANSAS,DEMOCRAT,422768
2000,CALIFORNIA,DEMOCRAT,5861203
2000,COLORADO,DEMOCRAT,738227
2000,CONNECTICUT,DEMOCRAT,816015
2000,DELAWARE,DEMOCRAT,180068
2000,DISTRICT OF COLUMBIA,DEMOCRAT,171923
2000,FLORIDA,DEMOCRAT,2912253
2000,GEORGIA,DEMOCRAT,1116230
2000,HAWAII,DEMOCRAT,205286
2000,IDAHO,DEMOCRAT,138637
2000,ILLINOIS,DEMOCRAT,2589026
2000,INDIANA,DEMOCRAT,901980
2000,IOWA,DEMOCRAT,638517
2000,KANSAS,DEMOCRAT,399276
2000,KENTUCKY,DEMOCRAT,638923
2000,LOUISIANA,DEMOCRAT,792344
2000,MAINE,DEMOCRAT,319951
2000,MARYLAND,DEMOCRAT,1144008
2000,MASSACHUSETTS,DEMOCRAT,1616487
2000,MICHIGAN,DEMOCRAT,2170418
2000,MINNESOTA,DEMOCRAT,1168266
2000,MISSISSIPPI,DEMOCRAT,404614
2000,MISSOURI,DEMOCRAT,1111138
2000,MONTANA,DEMOCRAT,137126
2000,NEBRASKA,DEMOCRAT,231780
2000,NEVADA,DEMOCRAT,279978
2000,NEW HAMPSHIRE,DEMOCRAT,266348
2000,NEW JERSEY,DEMOCRAT,1788850
2000,NEW MEXICO,DEMOCRAT,286783
2000,NEW YORK,DEMOCRAT,3942215
2000,NORTH CAROLINA,DEMOCRAT,1257692
2000,NORTH DAKOTA,DEMOCRAT,95284
2000,OHIO,DEMOCRAT,2183628
2000,OKLAHOMA,DEMOCRAT,474276
2000,OREGON,DEMOCRAT,720342
2000,PENNSYLVANIA,DEMOCRAT,2485967
2000,RHODE ISLAND,DEMOCRAT,249508
2000,SOUTH CAROLINA,DEMOCRAT,566037
2000,SOUTH DAKOTA,DEMOCRAT,118804
2000,TENNESSEE,DEMOCRAT,981720
2000,TEXAS,DEMOCRAT,2433746
2000,UTAH,DEMOCRAT,203053
2000,VERMONT,DEMOCRAT,149022
2000,VIRGINIA,DEMOCRAT,1217290
2000,WASHINGTON,DEMOCRAT,1247652
2000,WEST VIRGINIA,DEMOCRAT,295497
2000,WISCONSIN,DEMOCRAT,1242987
2000,WYOMING,DEMOCRAT,60481
2004,ALABAMA,DEMOCRAT,693933
2004,ALASKA,DEMOCRAT,111025
2004,ARIZONA,DEMOCRAT,893524
2004,ARKANSAS,DEMOCRAT,469953
2004,CALIFORNIA,DEMOCRAT,6745485
2004,COLORADO,DEMOCRAT,1001732
2004,CONNECTICUT,DEMOCRAT,857488
2004,DELAWARE,DEMOCRAT,200152
2004,DISTRICT OF COLUMBIA,DEMOCRAT,202970
2004,FLORIDA,DEMOCRAT,3583544
2004,GEORGIA,DEMOCRAT,1366149
2004,HAWAII,DEMOCRAT,231708
2004,IDAHO,DEMOCRAT,181098
2004,ILLINOIS,DEMOCRAT,2891550
2004,INDIANA,DEMOCRAT,969011
2004,IOWA,DEMOCRAT,741898
2004,KANSAS,DEMOCRAT,434993
2004,KENTUCKY,DEMOCRAT,712733
2004,LOUISIANA,DEMOCRAT,820299
2004,MAINE,DEMOCRAT,396842
2004,MARYLAND,DEMOCRAT,1334493
2004,MASSACHUSETTS,DEMOCRAT,1803800
2004,MICHIGAN,DEMOCRAT,2479183
2004,MINNESOTA,DEMOCRAT,1445014
2004,MISSISSIPPI,DEMOCRAT,457766
2004,MISSOURI,DEMOCRAT,1259171
2004,MONTANA,DEMOCRAT,173710
2004,NEBRASKA,DEMOCRAT,254328
2004,NEVADA,DEMOCRAT,397190
2004,NEW HAMPSHIRE,DEMOCRAT,340511
2004,NEW JERSEY,DEMOCRAT,1911430
2004,NEW MEXICO,DEMOCRAT,370942
2004,NEW YORK,DEMOCRAT,4180755
2004,NORTH CAROLINA,DEMOCRAT,1525849
2004,NORTH DAKOTA,DEMOCRAT,111052
2004,OHIO,DEMOCRAT,2741165
2004,OKLAHOMA,DEMOCRAT,503966
2004,OREGON,DEMOCRAT,943163
2004,PENNSYLVANIA,DEMOCRAT,2938095
2004,RHODE ISLAND,DEMOCRAT,259760
2004,SOUTH CAROLINA,DEMOCRAT,661669
2004,SOUTH DAKOTA,DEMOCRAT,149244
2004,TENNESSEE,DEMOCRAT,1036477
2004,TEXAS,DEMOCRAT,2832704
2004,UTAH,DEMOCRAT,241199
2004,VERMONT,DEMOCRAT,184067
2004,VIRGINIA,DEMOCRAT,1454742
2004,WASHINGTON,DEMOCRAT,1510201
2004,WEST VIRGINIA,DEMOCRAT,326541
2004,WISCONSIN,DEMOCRAT,1489504
2004,WYOMING,DEMOCRAT,70776
2008,ALABAMA,DEMOCRAT,813479
2008,ALASKA,DEMOCRAT,123594
2008,ARIZONA,DEMOCRAT,1034707
2008,ARKANSAS,DEMOCRAT,422310
2008,CALIFORNIA,DEMOCRAT,8274473
2008,COLORADO,DEMOCRAT,1288576
2008,CONNECTICUT,DEMOCRAT,997772
2008,DELAWARE,DEMOCRAT,255459
2008,DISTRICT OF COLUMBIA,DEMOCRAT,245800
2008,FLORIDA,DEMOCRAT,4282074
2008,GEORGIA,DEMOCRAT,1844123
2008,HAWAII,DEMOCRAT,325871
2008,IDAHO,DEMOCRAT,236440
2008,ILLINOIS,DEMOCRAT,3419348
2008,INDIANA,DEMOCRAT,1374039
2008,IOWA,DEMOCRAT,828940
2008,KANSAS,DEMOCRAT,514765
2008,KENTUCKY,DEMOCRAT,751985
2008,LOUISIANA,DEMOCRAT,782989
2008,MAINE,DEMOCRAT,421923
2008,MARYLAND,DEMOCRAT,1629467
2008,MASSACHUSETTS,DEMOCRAT,1904097
2008,MICHIGAN,DEMOCRAT,2872579
2008,MINNESOTA,DEMOCRAT,1573354
2008,MISSISSIPPI,DEMOCRAT,554662
2008,MISSOURI,DEMOCRAT,1441911
2008,MONTANA,DEMOCRAT,231667
2008,NEBRASKA,DEMOCRAT,333319
2008,NEVADA,DEMOCRAT,533736
2008,NEW HAMPSHIRE,DEMOCRAT,384826
2008,NEW JERSEY,DEMOCRAT,2215422
2008,NEW MEXICO,DEMOCRAT,472422
2008,NEW YORK,DEMOCRAT,4645332
2008,NORTH CAROLINA,DEMOCRAT,2142651
2008,NORTH DAKOTA,DEMOCRAT,141278
2008,OHIO,DEMOCRAT,2940044
2008,OKLAHOMA,DEMOCRAT,502496
2008,OREGON,DEMOCRAT,1037291
2008,PENNSYLVANIA,DEMOCRAT,3276363
2008,RHODE ISLAND,DEMOCRAT,296571
2008,SOUTH CAROLINA,DEMOCRAT,862449
2008,SOUTH DAKOTA,DEMOCRAT,170924
2008,TENNESSEE,DEMOCRAT,1087437
2008,TEXAS,DEMOCRAT,3528633
2008,UTAH,DEMOCRAT,327670
2008,VERMONT,DEMOCRAT,219262
2008,VIRGINIA,DEMOCRAT,1959532
2008,WASHINGTON,DEMOCRAT,1750848
2008,WEST VIRGINIA,DEMOCRAT,303857
2008,WISCONSIN,DEMOCRAT,1677211
2008,WYOMING,DEMOCRAT,82868
2012,ALABAMA,DEMOCRAT,795696
2012,ALASKA,DEMOCRAT,122640
2012,ARIZONA,DEMOCRAT,1025232
2012,ARKANSAS,DEMOCRAT,394409
2012,CALIFORNIA,DEMOCRAT,7854285
2012,COLORADO,DEMOCRAT,1323101
2012,CONNECTICUT,DEMOCRAT,905083
2012,DELAWARE,DEMOCRAT,242584
2012,DISTRICT OF COLUMBIA,DEMOCRAT,267070
2012,FLORIDA,DEMOCRAT,4237756
2012,GEORGIA,DEMOCRAT,1773827
2012,HAWAII,DEMOCRAT,306658
2012,IDAHO,DEMOCRAT,212787
2012,ILLINOIS,DEMOCRAT,3019512
2012,INDIANA,DEMOCRAT,1152887
2012,IOWA,DEMOCRAT,822544
2012,KANSAS,DEMOCRAT,440726
2012,KENTUCKY,DEMOCRAT,679370
2012,LOUISIANA,DEMOCRAT,809141
2012,MAINE,DEMOCRAT,401306
2012,MARYLAND,DEMOCRAT,1677844
2012,MASSACHUSETTS,DEMOCRAT,1921290
2012,MICHIGAN,DEMOCRAT,2564569
2012,MINNESOTA,DEMOCRAT,1546167
2012,MISSISSIPPI,DEMOCRAT,562949
2012,MISSOURI,DEMOCRAT,1223796
2012,MONTANA,DEMOCRAT,201839
2012,NEBRASKA,DEMOCRAT,302081
2012,NEVADA,DEMOCRAT,531373
2012,NEW HAMPSHIRE,DEMOCRAT,369561
2012,NEW JERSEY,DEMOCRAT,2122786
2012,NEW MEXICO,DEMOCRAT,415335
2012,NEW YORK,DEMOCRAT,4324228
2012,NORTH CAROLINA,DEMOCRAT,2178391
2012,NORTH DAKOTA,DEMOCRAT,124966
2012,OHIO,DEMOCRAT,2827621
2012,OKLAHOMA,DEMOCRAT,443547
2012,OREGON,DEMOCRAT,970488
2012,PENNSYLVANIA,DEMOCRAT,2990274
2012,RHODE ISLAND,DEMOCRAT,279677
2012,SOUTH CAROLINA,DEMOCRAT,865941
2012,SOUTH DAKOTA,DEMOCRAT,145039
2012,TENNESSEE,DEMOCRAT,960709
2012,TEXAS,DEMOCRAT,3308124
2012,UTAH,DEMOCRAT,251813
2012,VERMONT,DEMOCRAT,199239
2012,VIRGINIA,DEMOCRAT,1971820
2012,WASHINGTON,DEMOCRAT,1755396
2012,WEST VIRGINIA,DEMOCRAT,238269
2012,WISCONSIN,DEMOCRAT,1620985
2012,WYOMING,DEMOCRAT,69286
2016,ALABAMA,DEMOCRAT,729547
2016,ALASKA,DEMOCRAT,116454
2016,ARIZONA,DEMOCRAT,1161167
2016,ARKANSAS,DEMOCRAT,380494
2016,CALIFORNIA,DEMOCRAT,8753788
2016,COLORADO,DEMOCRAT,1338870
2016,CONNECTICUT,DEMOCRAT,897572
2016,DELAWARE,DEMOCRAT,235603
2016,DISTRICT OF COLUMBIA,DEMOCRAT,282830
2016,FLORIDA,DEMOCRAT,4504975
2016,GEORGIA,DEMOCRAT,1877963
2016,HAWAII,DEMOCRAT,266891
2016,IDAHO,DEMOCRAT,189765
2016,ILLINOIS,DEMOCRAT,3090729
2016,INDIANA,DEMOCRAT,1033126
2016,IOWA,DEMOCRAT,653669
2016,KANSAS,DEMOCRAT,427005
2016,KENTUCKY,DEMOCRAT,628854
2016,LOUISIANA,DEMOCRAT,780154
2016,MAINE,DEMOCRAT,357735
2016,MARYLAND,DEMOCRAT,1678006
2016,MASSACHUSETTS,DEMOCRAT,1995196
2016,MICHIGAN,DEMOCRAT,2268839
2016,MINNESOTA,DEMOCRAT,1367705
2016,MISSISSIPPI,DEMOCRAT,485131
2016,MISSOURI,DEMOCRAT,1071068
2016,MONTANA,DEMOCRAT,177709
2016,NEBRASKA,DEMOCRAT,284494
2016,NEVADA,DEMOCRAT,539260
2016,NEW HAMPSHIRE,DEMOCRAT,348526
2016,NEW JERSEY,DEMOCRAT,2148278
2016,NEW MEXICO,DEMOCRAT,385234
2016,NEW YORK,DEMOCRAT,4379789
2016,NORTH CAROLINA,DEMOCRAT,2189316
2016,NORTH DAKOTA,DEMOCRAT,93758
2016,OHIO,DEMOCRAT,2394164
2016,OKLAHOMA,DEMOCRAT,420375
2016,OREGON,DEMOCRAT,1002106
2016,PENNSYLVANIA,DEMOCRAT,2926441
2016,RHODE ISLAND,DEMOCRAT,252525
2016,SOUTH CAROLINA,DEMOCRAT,855373
2016,SOUTH DAKOTA,DEMOCRAT,117458
2016,TENNESSEE,DEMOCRAT,870695
2016,TEXAS,DEMOCRAT,3877868
2016,UTAH,DEMOCRAT,310674
2016,VERMONT,DEMOCRAT,178573
2016,VIRGINIA,DEMOCRAT,1981473
2016,WASHINGTON,DEMOCRAT,1742718
2016,WEST VIRGINIA,DEMOCRAT,188794
2016,WISCONSIN,DEMOCRAT,1382536
2016,WYOMING,DEMOCRAT,55973
2020,ALABAMA,DEMOCRAT,849624
2020,ALASKA,DEMOCRAT,153778
2020,ARIZONA,DEMOCRAT,1672143
2020,ARKANSAS,DEMOCRAT,423932
2020,CALIFORNIA,DEMOCRAT,11110250
2020,COLORADO,DEMOCRAT,1804352
2020,CONNECTICUT,DEMOCRAT,1080831
2020,DELAWARE,DEMOCRAT,296268
2020,DISTRICT OF COLUMBIA,DEMOCRAT,317323
2020,FLORIDA,DEMOCRAT,5297045
2020,GEORGIA,DEMOCRAT,2473633
2020,HAWAII,DEMOCRAT,366130
2020,IDAHO,DEMOCRAT,287021
2020,ILLINOIS,DEMOCRAT,3471915
2020,INDIANA,DEMOCRAT,1242416
2020,IOWA,DEMOCRAT,759061
2020,KANSAS,DEMOCRAT,570323
2020,KENTUCKY,DEMOCRAT,772474
2020,LOUISIANA,DEMOCRAT,856034
2020,MAINE,DEMOCRAT,435072
2020,MARYLAND,DEMOCRAT,1985023
2020,MASSACHUSETTS,DEMOCRAT,2382202
2020,MICHIGAN,DEMOCRAT,2804040
2020,MINNESOTA,DEMOCRAT,1717077
